date,season,id_plant,sample_type,light_exposure,site,Vol extraccion sac (ml),# de hojas,Vol_resusp (ml),Vol_final_pocillo_sac_(ml),Vol sacarosa (ml),Sacarosa 01,rep_S01,Sacarosa 02,rep_S02,Sac 02-01,Sac_rep_02-01,Promedio sacarosa,Aplicando la recta sacarosa_um_ml,ug_sac_ml,ug_C_ml,ug_C_MUESTRA (sin descontar lo usado para medir),ug_C_MUESTRA (descontando lo usado para medir),mg C capsulitas analisis isotopos
20230830,summer,5,SPH,shade_low,bertiz,10,,,0.25,0.11,0.416,0.421,1.6552,1.677,1.2392,1.256,1.2476,0.668313702,228.7637804,96.08078775,960.8078775,939.6701042,0.192161575
20230830,summer,6,SPH,shade_low,bertiz,10,,,0.25,0.11,0.42,0.425,1.5166,1.5402,1.0966,1.1152,1.1059,0.592407922,202.7812317,85.16811732,851.6811732,832.9441874,0.170336235
20230901,summer,1,LPH,shade_low,diustes,5,10,0.5,0.25,0.015,0.304,0.31,0.329,0.3385,0.025,0.0285,0.02675,0.105082455,35.96972447,15.10728428,7.553642138,7.10042361,
20230901,summer,2,LPH,shade_low,diustes,5,10,0.5,0.25,0.015,0.319,0.325,0.375166667,0.38,0.056166667,0.055,0.055583333,0.218348903,74.74082935,31.39114833,15.69557416,14.75383971,
20230901,summer,3,LPH,shade_low,diustes,5,10,0.5,0.25,0.015,0.281,0.279,0.292,0.295,0.011,0.016,0.0135,0.053032267,18.15294506,7.624236925,3.812118462,3.583391355,
20230901,summer,4,LPH,shade_low,diustes,5,10,0.5,0.25,0.015,0.297,0.297,0.329333333,0.337,0.032333333,0.04,0.036166667,0.142074099,48.63196392,20.42542485,10.21271242,9.599949678,
20230901,summer,5,LPH,shade_low,diustes,5,10,0.5,0.25,0.015,0.295,0.29,0.3145,0.32,0.0195,0.03,0.02475,0.097225823,33.28039927,13.9777677,6.988883848,6.569550817,
20230901,summer,6,LPH,shade_low,diustes,5,10,0.5,0.25,0.015,0.288,0.285,0.300833333,0.308,0.012833333,0.023,0.017916667,0.07038233,24.09187153,10.11858604,5.059293021,4.75573544,
20230901,summer,1,BPH,shade_low,diustes,10,,,0.25,0.11,2.498,2.572,3.9148,3.939,1.4168,1.367,1.3919,0.745612249,255.223073,107.1936907,1071.936907,1048.354295,0.214387381
20230901,summer,2,BPH,shade_low,diustes,10,,,0.25,0.11,1.611,1.632,3.732,3.7314,2.121,2.0994,2.1102,1.13039081,386.9327744,162.5117652,1625.117652,1589.365064,0.32502353
