"","date","precip_mm","temperatura_maxima","temperatura_minima","temp_air_celcius"
"2934",2008-01-14,0.8,13,6,9.5
"2935",2008-01-15,16.4,12.5,3,7.75
"2936",2008-01-16,10.7,9,5,7
"2937",2008-01-17,16.4,10,5,7.5
"2938",2008-01-18,0.7,13,6,9.5
"2939",2008-01-19,0,17,9,13
"2940",2008-01-20,0,17,1,9
"2941",2008-01-21,0,17,0,8.5
"2942",2008-01-22,6.4,11,2,6.5
"2943",2008-01-23,0,16,7,11.5
"2944",2008-01-24,0,16.5,3,9.75
"2945",2008-01-25,0,12,4,8
"2946",2008-01-26,0,17,2,9.5
"2947",2008-01-27,0,17,-1,8
"2948",2008-01-28,0,13,-1,6
"2949",2008-01-29,0,12,0,6
"2950",2008-01-30,6.4,8.5,1,4.75
"2951",2008-01-31,0,9,2,5.5
"2952",2008-02-01,9.8,12,1,6.5
"2953",2008-02-02,0.3,9,5,7
"2954",2008-02-03,11.3,12,0,6
"2955",2008-02-04,2.7,9,4,6.5
"2956",2008-02-05,0,17,3,10
"2957",2008-02-06,0,17,4,10.5
"2958",2008-02-07,0,20,4,12
"2959",2008-02-08,0,20,1,10.5
"2960",2008-02-09,0,18,4,11
"2961",2008-02-10,0,19,1,10
"2962",2008-02-11,0,14,1,7.5
"2963",2008-02-12,0,14,6,10
"2964",2008-02-13,0,14,4,9
"2965",2008-02-14,0,16,2.5,9.25
"2966",2008-02-15,0,18,4,11
"2967",2008-02-16,0,18,-1,8.5
"2968",2008-02-17,0,14,0,7
"2969",2008-02-18,0,12.5,9,10.75
"2970",2008-02-19,0.2,16.5,11.5,14
"2971",2008-02-20,0,17,10,13.5
"2972",2008-02-21,0,17,8,12.5
"2973",2008-02-22,0,20.5,4,12.25
"2974",2008-02-23,0,21,2.5,11.75
"2975",2008-02-24,0,16,4,10
"2976",2008-02-25,0,17,11.5,14.25
"2977",2008-02-26,0.7,17,7,12
"2978",2008-02-27,1.7,17,8,12.5
"2979",2008-02-28,0.1,17,11.5,14.25
"2980",2008-02-29,0,17,9.5,13.25
"2981",2008-03-01,0.4,14,8,11
"2982",2008-03-02,0,21,9,15
"2983",2008-03-03,19.1,13,9,11
"2984",2008-03-04,20,7,4,5.5
"2985",2008-03-05,0.9,7.5,1,4.25
"2986",2008-03-06,0.5,9,0,4.5
"2987",2008-03-07,5.5,9,5,7
"2988",2008-03-08,0.8,10,6,8
"2989",2008-03-09,6.9,9,4,6.5
"2990",2008-03-10,13.7,9,4,6.5
"2991",2008-03-11,0.8,13,7,10
"2992",2008-03-12,0,17,8,12.5
"2993",2008-03-13,0,21,10,15.5
"2994",2008-03-14,0,25,8,16.5
"2995",2008-03-15,1.9,25,9,17
"2996",2008-03-16,0,17,9,13
"2997",2008-03-17,7.9,18,7.5,12.75
"2998",2008-03-18,1.8,10,8.5,9.25
"2999",2008-03-19,0,9,6,7.5
"3000",2008-03-20,0,9,0,4.5
"3001",2008-03-21,36,9,3,6
"3002",2008-03-22,30.2,7,5,6
"3003",2008-03-23,38.5,7,1,4
"3004",2008-03-24,45.8,10,2,6
"3005",2008-03-25,7.8,12.5,9,10.75
"3006",2008-03-26,21.4,9,7.5,8.25
"3007",2008-03-27,38.5,13,4.5,8.75
"3008",2008-03-28,1.1,17,7,12
"3009",2008-03-29,0,21,4.5,12.75
"3010",2008-03-30,19.3,16,8,12
"3011",2008-03-31,16.1,13,7.5,10.25
"3012",2008-04-01,14.7,13,8,10.5
"3013",2008-04-02,0,16.5,9,12.75
"3014",2008-04-03,0,14,8,11
"3015",2008-04-04,0,17,8,12.5
"3016",2008-04-05,0,20,4,12
"3017",2008-04-06,0.5,14,4,9
"3018",2008-04-07,3.2,14,4,9
"3019",2008-04-08,0.5,20.5,5,12.75
"3020",2008-04-09,3,21,12,16.5
"3021",2008-04-10,44.5,17,12,14.5
"3022",2008-04-11,13.2,9,7.5,8.25
"3023",2008-04-12,0.5,13,7,10
"3024",2008-04-13,11.1,17,4,10.5
"3025",2008-04-14,5.1,13,6,9.5
"3026",2008-04-15,0,17,3,10
"3027",2008-04-16,7.3,21,4,12.5
