INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,NOM_PROV,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31
1002E,1995,9,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,9,0,0,18,0,0,158,79,45,54,22,12,0,52,3,499,80,22,0,10,60,6,0,52,28,0,72,,067X,067X,067X,011X,057X,,011X,,067X,011X,011X,011X,011X,011X,011X,067X,011X,011X,011X,011X,011X,,011X067X,011X057X,011X,057X,011X057X067X,011X057X,057X,011X,
1002E,1995,10,SEÑORIO DE BERTIZ,146,NAVARRA,1,0,0,41,1,0,0,0,0,0,0,0,0,52,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,011X057X,067X,,011X067X,011X,067X,067X,067X,067X,067X,067X,067X,067X,011X067X,057X067X,057X067X,067X,011X067X,057X,057X067X,067X,057X067X,,,,067X,067X,011X067X,,057X067X,067X
1002E,1995,11,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,0,0,-3,-3,33,2,0,0,0,12,60,28,0,0,53,393,0,0,122,0,0,0,0,20,,067X,057X067X,067X,067X,077X,077X,077X,077X,011X077X,011X,011X,011X,,057X067X,067X,011X067X,011X,011X,,067X,011X067X,011X,,067X,011X,,077X,067X,067X,011X,
1002E,1995,12,SEÑORIO DE BERTIZ,146,NAVARRA,0,451,251,220,0,0,105,0,0,0,0,0,0,0,64,2,0,0,0,0,0,0,75,143,235,42,59,0,23,0,4,057X,011X067X,011X,011X,057X067X,067X,011X,057X,067X,057X067X,067X,057X067X,067X,077X,011X077X,011X,077X,077X,,,,,011X,011X,011X,011X,011X077X,067X,011X067X,,011X
1002E,1996,1,SEÑORIO DE BERTIZ,146,NAVARRA,59,6,0,0,149,57,2,29,203,20,0,45,0,0,0,0,0,0,0,0,34,40,20,374,15,0,0,0,16,17,0,011X,011X,057X,067X,011X,011X067X,011X067X,011X067X,011X,011X,,011X,,,,067X,,067X,,,011X,011X,011X,011X,011X,067X,067X,,011X067X,011X057X,057X
1002E,1996,2,SEÑORIO DE BERTIZ,146,NAVARRA,14,16,59,6,358,312,342,33,28,103,176,185,42,4,0,0,8,180,290,210,50,62,6,0,6,251,0,0,0,,,011X067X,011X,011X067X,011X,011X067X,011X031X,011X031X,011X,011X077X,011X057X,011X,011X,011X,011X057X,067X,067X,011X057X,011X057X067X,011X021X081X,021X081X,021X081X,021X081X,011X,067X,011X,011X021X,057X,057X077X,057X077X,,
1002E,1996,3,SEÑORIO DE BERTIZ,146,NAVARRA,22,19,0,0,0,0,0,0,0,0,0,0,78,225,161,113,0,0,0,0,0,0,0,0,0,0,173,9,0,0,3,011X057X077X,011X,067X,067X,067X,077X,077X,067X,,067X,067X,077X,011X067X,011X,011X,011X,057X,067X,067X,067X,067X,067X,067X,,067X,067X,011X,011X,067X,057X067X,011X
1002E,1996,4,SEÑORIO DE BERTIZ,146,NAVARRA,68,0,0,0,0,0,5,0,0,0,0,0,12,13,0,323,115,0,0,0,13,94,40,0,0,0,0,92,2,50,,011X067X,,067X,077X,077X,067X,011X057X,057X067X,067X,067X,067X,067X,011X,011X,,011X067X,011X,057X067X,067X,,011X,011X,011X041X,057X,067X,057X067X,067X,011X057X067X,011X,011X067X,
1002E,1996,5,SEÑORIO DE BERTIZ,146,NAVARRA,98,40,0,0,0,0,0,16,197,101,11,0,0,0,0,0,49,127,9,0,0,0,0,0,0,0,0,0,0,3,116,011X,011X041X,,067X,067X,067X,067X,011X067X,011X,011X057X,011X,067X,067X,067X,067X,067X,011X067X,011X,011X067X,,067X,067X,067X,067X,067X,067X,067X,067X,067X,011X067X,011X
1002E,1996,6,SEÑORIO DE BERTIZ,146,NAVARRA,8,39,0,0,0,0,82,4,0,0,0,0,0,0,0,0,0,0,118,141,165,0,19,149,0,0,0,0,0,0,,011X,011X067X,,067X,067X,067X,011X,011X,,067X,067X,067X,067X,067X,067X,067X,067X,067X,011X067X,011X,011X,,011X067X,011X067X,,067X,067X,067X,067X,067X,
